
Minimum time:  60487

Test #		Time
724:		61933
725:		61938
726:		61703
727:		61481
728:		61608
729:		61325
730:		62009
731:		61181
732:		61677
733:		63563
734:		61331
735:		61150
736:		61787
737:		61660
738:		61285
739:		62138
740:		62084
741:		60890
742:		61631
743:		61250
744:		61551
745:		61561
746:		61559
747:		60985
748:		61482
749:		61349
750:		61358
751:		61588
752:		61419
753:		62279
754:		62367
755:		62427
756:		62488
757:		62491
758:		61771
759:		62823
760:		62308
761:		62149
762:		61851
763:		62687
764:		62045
765:		61733
766:		62244
767:		62427
768:		62658
769:		62049
770:		61441
771:		62755
772:		62020
773:		62025
774:		61689
775:		62473
776:		62429
777:		62047
778:		62090
779:		62044
780:		62076
781:		62251
782:		61679
783:		62503
784:		62027
785:		61813
786:		61975
787:		62608
788:		61928
789:		61493
790:		61838
791:		62423
792:		62566
793:		62098
794:		61547
795:		62150
796:		62191
797:		61784
798:		61509
799:		62548
800:		61887
801:		62193
802:		61607
803:		62320
804:		62054
805:		62330
806:		61866
807:		62345
808:		62316
809:		61428
810:		61569
811:		62588
812:		61666
813:		61835
814:		61718
815:		62051
816:		62340
817:		62089
818:		61420
819:		61966
820:		61795
821:		61801
822:		61769
823:		62422
824:		61845
825:		61465
826:		61660
827:		62194
828:		61829
829:		61852
830:		61293
831:		62478
832:		62701
833:		61655
834:		61355
835:		62301
836:		62387
837:		62073
838:		61998
839:		62344
840:		62254
841:		62698
842:		61798
843:		62539
844:		61865
845:		61696
846:		62278
847:		62939
848:		62261
849:		61715
850:		61847
851:		63409
852:		62164
853:		62243
854:		61436
855:		62445
856:		62401
857:		62154
858:		61776
859:		62278
860:		62217
861:		62083
862:		62529
863:		62381
864:		62400
865:		61891
866:		61894
867:		62305
868:		61978
869:		61615
870:		61938
871:		62895
872:		62089
873:		61998
874:		61863
875:		61977
876:		62194
877:		62087
878:		64557
879:		64163
880:		63133
881:		63769
882:		62895
883:		64398
884:		62867
885:		65371
886:		63896
887:		64132
888:		62519
889:		62174
890:		62500
891:		63413
892:		63436
893:		62752
894:		62662
895:		63359
896:		63851
897:		63177
898:		62162
899:		62007
900:		61796
901:		62479
902:		61546
903:		62335
904:		62017
905:		61611
906:		62648
907:		62475
908:		61891
909:		61648
910:		61445
911:		62402
912:		62038
913:		62074
914:		61144
915:		62013
916:		62059
917:		61914
918:		61612
919:		62327
920:		62727
921:		62607
922:		62393
923:		62540
924:		62980
925:		62796
926:		62033
927:		62844
928:		62833
929:		61998
930:		61759
931:		63265
932:		62619
933:		62522
934:		62307
935:		63136
936:		63537
937:		63128
938:		61690
939:		62510
940:		63185
941:		62761
942:		62847
943:		63178
944:		62571
945:		62512
946:		62590
947:		63170
948:		62487
949:		62116
950:		61807
951:		63290
952:		62992
953:		63121
954:		62110
955:		62474
956:		63206
957:		62436
958:		62267
959:		62446
960:		62248
961:		62264
962:		61773
963:		62336
964:		62055
965:		61674
966:		62174
967:		63018
968:		62323
969:		63097
970:		62158
971:		63252
972:		62367
973:		62296
974:		62044
975:		62560
976:		63136
977:		62441
978:		62303
979:		62408
980:		61744
981:		62427
982:		61773
983:		62355
984:		61927
985:		62247
986:		61742
987:		62543
988:		63476
989:		61635
990:		62316
991:		62845
992:		62344
993:		61668
994:		61309
995:		61893
996:		61982
997:		62396
998:		61564
999:		62164
1000:		61918
